"Nikto - v2.5.0/"
"example.com","104.18.27.120","443","","","","cloudflare"
"example.com","104.18.27.120","443","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"example.com","104.18.27.120","443","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security","GET","/","The site uses TLS and the Strict-Transport-Security HTTP header is not defined."
"example.com","104.18.27.120","443","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"Nikto - v2.5.0/"
"Nikto - v2.5.0/"
"example.com","104.18.27.120","443","","","","cloudflare"
"example.com","104.18.27.120","443","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"example.com","104.18.27.120","443","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security","GET","/","The site uses TLS and the Strict-Transport-Security HTTP header is not defined."
"example.com","104.18.27.120","443","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"Nikto - v2.5.0/"
"example.com","104.18.26.120","443","","","","cloudflare"
"Nikto - v2.5.0/"
"Nikto - v2.5.0/"
"example.com","104.18.27.120","443","","","","cloudflare"
"example.com","104.18.27.120","443","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options","GET","/","The anti-clickjacking X-Frame-Options header is not present."
"example.com","104.18.27.120","443","https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Strict-Transport-Security","GET","/","The site uses TLS and the Strict-Transport-Security HTTP header is not defined."
"example.com","104.18.27.120","443","https://www.netsparker.com/web-vulnerability-scanner/vulnerabilities/missing-content-type-header/","GET","/","The X-Content-Type-Options header is not set. This could allow the user agent to render the content of the site in a different fashion to the MIME type."
"Nikto - v2.5.0/"
"Nikto - v2.5.0/"
